snj_test12001,snj_station12001,snjj12001
snj_test12002,snj_station12002,snjj12002
snj_test12003,snj_station12003,snjj12003
snj_test12004,snj_station12004,snjj12004
snj_test12005,snj_station12005,snjj12005
snj_test12006,snj_station12006,snjj12006
snj_test12007,snj_station12007,snjj12007
snj_test12008,snj_station12008,snjj12008
snj_test12009,snj_station12009,snjj12009
snj_test12010,snj_station12010,snjj12010
snj_test12011,snj_station12011,snjj12011
snj_test12012,snj_station12012,snjj12012
snj_test12013,snj_station12013,snjj12013
snj_test12014,snj_station12014,snjj12014
snj_test12015,snj_station12015,snjj12015
snj_test12016,snj_station12016,snjj12016
snj_test12017,snj_station12017,snjj12017
snj_test12018,snj_station12018,snjj12018
snj_test12019,snj_station12019,snjj12019
snj_test12020,snj_station12020,snjj12020
snj_test12021,snj_station12021,snjj12021
snj_test12022,snj_station12022,snjj12022
snj_test12023,snj_station12023,snjj12023
snj_test12024,snj_station12024,snjj12024
snj_test12025,snj_station12025,snjj12025
snj_test12026,snj_station12026,snjj12026
snj_test12027,snj_station12027,snjj12027
snj_test12028,snj_station12028,snjj12028
snj_test12029,snj_station12029,snjj12029
snj_test12030,snj_station12030,snjj12030
snj_test12031,snj_station12031,snjj12031
snj_test12032,snj_station12032,snjj12032
snj_test12033,snj_station12033,snjj12033
snj_test12034,snj_station12034,snjj12034
snj_test12035,snj_station12035,snjj12035
snj_test12036,snj_station12036,snjj12036
snj_test12037,snj_station12037,snjj12037
snj_test12038,snj_station12038,snjj12038
snj_test12039,snj_station12039,snjj12039
snj_test12040,snj_station12040,snjj12040
snj_test12041,snj_station12041,snjj12041
snj_test12042,snj_station12042,snjj12042
snj_test12043,snj_station12043,snjj12043
snj_test12044,snj_station12044,snjj12044
snj_test12045,snj_station12045,snjj12045
snj_test12046,snj_station12046,snjj12046
snj_test12047,snj_station12047,snjj12047
snj_test12048,snj_station12048,snjj12048
snj_test12049,snj_station12049,snjj12049
snj_test12050,snj_station12050,snjj12050
snj_test12051,snj_station12051,snjj12051
snj_test12052,snj_station12052,snjj12052
snj_test12053,snj_station12053,snjj12053
snj_test12054,snj_station12054,snjj12054
snj_test12055,snj_station12055,snjj12055
snj_test12056,snj_station12056,snjj12056
snj_test12057,snj_station12057,snjj12057
snj_test12058,snj_station12058,snjj12058
snj_test12059,snj_station12059,snjj12059
snj_test12060,snj_station12060,snjj12060
snj_test12061,snj_station12061,snjj12061
snj_test12062,snj_station12062,snjj12062
snj_test12063,snj_station12063,snjj12063
snj_test12064,snj_station12064,snjj12064
snj_test12065,snj_station12065,snjj12065
snj_test12066,snj_station12066,snjj12066
snj_test12067,snj_station12067,snjj12067
