snj_test1,snj_station1,snjj1
snj_test2,snj_station2,snjj2
snj_test3,snj_station3,snjj3
snj_test4,snj_station4,snjj4
snj_test5,snj_station5,snjj5
snj_test6,snj_station6,snjj6
snj_test7,snj_station7,snjj7
snj_test8,snj_station8,snjj8
snj_test9,snj_station9,snjj9
snj_test10,snj_station10,snjj10
snj_test11,snj_station11,snjj11
snj_test12,snj_station12,snjj12
snj_test13,snj_station13,snjj13
snj_test14,snj_station14,snjj14
snj_test15,snj_station15,snjj15
snj_test16,snj_station16,snjj16
snj_test17,snj_station17,snjj17
snj_test18,snj_station18,snjj18
snj_test19,snj_station19,snjj19
snj_test20,snj_station20,snjj20
snj_test21,snj_station21,snjj21
snj_test22,snj_station22,snjj22
snj_test23,snj_station23,snjj23
snj_test24,snj_station24,snjj24
snj_test25,snj_station25,snjj25
snj_test26,snj_station26,snjj26
snj_test27,snj_station27,snjj27
snj_test28,snj_station28,snjj28
snj_test29,snj_station29,snjj29
snj_test30,snj_station30,snjj30
snj_test31,snj_station31,snjj31
snj_test32,snj_station32,snjj32
snj_test33,snj_station33,snjj33
snj_test34,snj_station34,snjj34
snj_test35,snj_station35,snjj35
snj_test36,snj_station36,snjj36
snj_test37,snj_station37,snjj37
snj_test38,snj_station38,snjj38
snj_test39,snj_station39,snjj39
snj_test40,snj_station40,snjj40
snj_test41,snj_station41,snjj41
snj_test42,snj_station42,snjj42
snj_test43,snj_station43,snjj43
snj_test44,snj_station44,snjj44
snj_test45,snj_station45,snjj45
snj_test46,snj_station46,snjj46
snj_test47,snj_station47,snjj47
snj_test48,snj_station48,snjj48
snj_test49,snj_station49,snjj49
snj_test50,snj_station50,snjj50
snj_test51,snj_station51,snjj51
snj_test52,snj_station52,snjj52
snj_test53,snj_station53,snjj53
snj_test54,snj_station54,snjj54
snj_test55,snj_station55,snjj55
snj_test56,snj_station56,snjj56
snj_test57,snj_station57,snjj57
snj_test58,snj_station58,snjj58
snj_test59,snj_station59,snjj59
snj_test60,snj_station60,snjj60
snj_test61,snj_station61,snjj61
snj_test62,snj_station62,snjj62
snj_test63,snj_station63,snjj63
snj_test64,snj_station64,snjj64
snj_test65,snj_station65,snjj65
snj_test66,snj_station66,snjj66
snj_test67,snj_station67,snjj67
snj_test68,snj_station68,snjj68
snj_test69,snj_station69,snjj69
snj_test70,snj_station70,snjj70
snj_test71,snj_station71,snjj71
snj_test72,snj_station72,snjj72
snj_test73,snj_station73,snjj73
snj_test74,snj_station74,snjj74
snj_test75,snj_station75,snjj75
snj_test76,snj_station76,snjj76
snj_test77,snj_station77,snjj77
snj_test78,snj_station78,snjj78
snj_test79,snj_station79,snjj79
snj_test80,snj_station80,snjj80
snj_test81,snj_station81,snjj81
snj_test82,snj_station82,snjj82
snj_test83,snj_station83,snjj83
snj_test84,snj_station84,snjj84
snj_test85,snj_station85,snjj85
snj_test86,snj_station86,snjj86
snj_test87,snj_station87,snjj87
snj_test88,snj_station88,snjj88
snj_test89,snj_station89,snjj89
snj_test90,snj_station90,snjj90
snj_test91,snj_station91,snjj91
snj_test92,snj_station92,snjj92
snj_test93,snj_station93,snjj93
snj_test94,snj_station94,snjj94
snj_test95,snj_station95,snjj95
snj_test96,snj_station96,snjj96
snj_test97,snj_station97,snjj97
snj_test98,snj_station98,snjj98
snj_test99,snj_station99,snjj99
snj_test100,snj_station100,snjj100
snj_test101,snj_station101,snjj101
snj_test102,snj_station102,snjj102
snj_test103,snj_station103,snjj103
snj_test104,snj_station104,snjj104
snj_test105,snj_station105,snjj105
snj_test106,snj_station106,snjj106
snj_test107,snj_station107,snjj107
snj_test108,snj_station108,snjj108
snj_test109,snj_station109,snjj109
snj_test110,snj_station110,snjj110
snj_test111,snj_station111,snjj111
snj_test112,snj_station112,snjj112
snj_test113,snj_station113,snjj113
snj_test114,snj_station114,snjj114
snj_test115,snj_station115,snjj115
snj_test116,snj_station116,snjj116
snj_test117,snj_station117,snjj117
snj_test118,snj_station118,snjj118
snj_test119,snj_station119,snjj119
snj_test120,snj_station120,snjj120
snj_test121,snj_station121,snjj121
snj_test122,snj_station122,snjj122
snj_test123,snj_station123,snjj123
snj_test124,snj_station124,snjj124
snj_test125,snj_station125,snjj125
snj_test126,snj_station126,snjj126
snj_test127,snj_station127,snjj127
snj_test128,snj_station128,snjj128
snj_test129,snj_station129,snjj129
snj_test130,snj_station130,snjj130
snj_test131,snj_station131,snjj131
snj_test132,snj_station132,snjj132
snj_test133,snj_station133,snjj133
snj_test134,snj_station134,snjj134
snj_test135,snj_station135,snjj135
snj_test136,snj_station136,snjj136
snj_test137,snj_station137,snjj137
snj_test138,snj_station138,snjj138
snj_test139,snj_station139,snjj139
snj_test140,snj_station140,snjj140
snj_test141,snj_station141,snjj141
snj_test142,snj_station142,snjj142
snj_test143,snj_station143,snjj143
snj_test144,snj_station144,snjj144
snj_test145,snj_station145,snjj145
